episode,reward,score,lines,pieces,epsilon,loss,avg_reward_100,avg_lines_100
1,-354.0,0,0,25,0.995,0.0,-354.0,0.0
2,-366.09999999999997,0,0,25,0.990025,0.0,-360.04999999999995,0.0
3,-368.0,0,0,25,0.985074875,0.0,-362.7,0.0
4,-375.0,0,0,23,0.9801495006250001,0.0,-365.775,0.0
5,-392.69999999999993,0,0,25,0.9752487531218751,0.0,-371.15999999999997,0.0
6,-359.30000000000007,0,0,27,0.9703725093562657,0.0,-369.18333333333334,0.0
7,-352.5,0,0,28,0.9655206468094844,0.0,-366.8,0.0
8,-385.0,100,1,27,0.960693043575437,0.0,-369.075,0.125
9,-366.9,0,0,26,0.9558895783575597,0.0,-368.8333333333333,0.1111111111111111
10,-371.90000000000003,0,0,26,0.9511101304657719,0.0,-369.14,0.1
11,-377.80000000000007,0,0,26,0.946354579813443,0.0,-369.92727272727274,0.09090909090909091
12,-348.90000000000003,0,0,23,0.9416228069143757,0.0,-368.175,0.08333333333333333
13,-370.20000000000005,0,0,27,0.9369146928798039,0.0,-368.33076923076925,0.07692307692307693
14,-401.5000000000001,0,0,24,0.9322301194154049,0.0,-370.7,0.07142857142857142
15,-394.09999999999997,0,0,18,0.9275689688183278,0.0,-372.26000000000005,0.06666666666666667
16,-380.69999999999993,0,0,25,0.9229311239742362,0.0,-372.7875,0.0625
17,-344.8,0,0,25,0.918316468354365,0.0,-371.1411764705883,0.058823529411764705
18,-379.9000000000001,0,0,26,0.9137248860125932,0.0,-371.62777777777785,0.05555555555555555
19,-390.0,0,0,25,0.9091562615825302,0.0,-372.5947368421053,0.05263157894736842
20,-340.90000000000003,0,0,27,0.9046104802746175,0.0,-371.01000000000005,0.05
21,-346.80000000000007,0,0,25,0.9000874278732445,0.0,-369.8571428571429,0.047619047619047616
22,-407.70000000000005,0,0,22,0.8955869907338783,0.0,-371.57727272727277,0.045454545454545456
23,-355.70000000000005,0,0,28,0.8911090557802088,0.0,-370.8869565217392,0.043478260869565216
24,-397.9,0,0,25,0.8866535105013078,0.0,-372.01250000000005,0.041666666666666664
25,-350.90000000000003,0,0,21,0.8822202429488013,0.0,-371.168,0.04
26,-352.6,0,0,28,0.8778091417340573,0.0,-370.4538461538462,0.038461538461538464
27,-390.6,0,0,18,0.8734200960253871,0.0,-371.20000000000005,0.037037037037037035
28,-331.59999999999997,0,0,32,0.8690529955452602,0.0,-369.78571428571433,0.03571428571428571
29,-362.59999999999997,0,0,28,0.8647077305675338,0.0,-369.5379310344828,0.034482758620689655
30,-354.1,200,2,30,0.8603841919146962,0.0,-369.0233333333334,0.1
31,-376.90000000000003,0,0,23,0.8560822709551227,0.0,-369.2774193548388,0.0967741935483871
32,-387.1,0,0,22,0.851801859600347,0.0,-369.8343750000001,0.09375
33,-375.9,0,0,26,0.8475428503023453,0.0,-370.01818181818186,0.09090909090909091
34,-382.0,0,0,25,0.8433051360508336,0.0,-370.3705882352942,0.08823529411764706
35,-377.3,0,0,23,0.8390886103705794,0.0,-370.5685714285715,0.08571428571428572
36,-369.30000000000007,0,0,28,0.8348931673187264,0.0,-370.53333333333336,0.08333333333333333
37,-367.0,0,0,28,0.8307187014821328,0.0,-370.43783783783783,0.08108108108108109
38,-373.4000000000001,0,0,26,0.8265651079747222,0.0,-370.5157894736842,0.07894736842105263
39,-373.9,0,0,28,0.8224322824348486,0.0,-370.6025641025641,0.07692307692307693
40,-368.8,0,0,28,0.8183201210226743,14.05411926905314,-370.5575,0.075
41,-357.79999999999995,0,0,28,0.8142285204175609,11.08867985861642,-370.2463414634146,0.07317073170731707
42,-359.30000000000007,0,0,28,0.810157377815473,9.916025127683367,-369.9857142857142,0.07142857142857142
43,-346.6,0,0,29,0.8061065909263957,9.755576347482615,-369.44186046511624,0.06976744186046512
44,-403.4,0,0,24,0.8020760579717637,9.543712258338928,-370.21363636363634,0.06818181818181818
45,-373.70000000000005,0,0,28,0.798065677681905,9.983511362757001,-370.2911111111111,0.06666666666666667
46,-304.4,0,0,30,0.7940753492934954,9.882855876286824,-368.85869565217394,0.06521739130434782
47,-393.30000000000007,0,0,25,0.7901049725470279,9.820833492279053,-369.3787234042553,0.06382978723404255
48,-375.90000000000003,0,0,26,0.7861544476842928,9.606880793204674,-369.51458333333335,0.0625
49,-375.69999999999993,100,1,29,0.7822236754458713,9.393833998976083,-369.6408163265306,0.08163265306122448
50,-391.30000000000007,0,0,24,0.778312557068642,9.265849113464355,-370.074,0.08
51,-359.69999999999993,0,0,28,0.7744209942832988,9.620160494531904,-369.8705882352941,0.0784313725490196
52,-393.5,0,0,22,0.7705488893118823,9.54850586977872,-370.32500000000005,0.07692307692307693
53,-335.19999999999993,0,0,32,0.7666961448653229,9.193753704428673,-369.66226415094343,0.07547169811320754
54,-393.1,0,0,25,0.7628626641409962,8.937914028167725,-370.0962962962963,0.07407407407407407
55,-411.9000000000001,0,0,24,0.7590483508202912,9.000300347805023,-370.85636363636365,0.07272727272727272
56,-364.5,0,0,28,0.7552531090661897,9.471997652735029,-370.7428571428572,0.07142857142857142
57,-370.19999999999993,0,0,27,0.7514768435208588,9.24464718500773,-370.7333333333334,0.07017543859649122
58,-342.7000000000001,0,0,29,0.7477194593032545,9.673896082516375,-370.25000000000006,0.06896551724137931
